pxd	run	tissue_mlm	confidence_mlm	tissue_llm	is_agree	is_in_mlm_vocab	lin_similarity	concordance_tier	disease_state_llm
PXD000445	20111114_055_Exp09_OGE12	Colon	0.2011	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_058_Exp10_OGE01	Colon	0.0729	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_059_Exp10_OGE02	Colon	0.0846	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_062_Exp10_OGE05	Colon	0.1406	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_066_Exp10_OGE09	Rectum	0.0405	colon	False	True	0.8798	Near-Agreement (Subpart / Secretome)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_069_Exp10_OGE12	Colon	0.1587	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_072_Exp_CellLines_OGE02	Monocytes	0.0584	colon	False	True	0.2084	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_076_Exp_CellLines_OGE07	Tonsil	0.0387	colon	False	True	0.2585	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_078_Exp_CellLines_OGE09	Testis	0.0394	colon	False	True	0.0826	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_081_Exp_CellLines_OGE12	Testis	0.0611	colon	False	True	0.0826	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_126_Exp09_OGE01_II	Kidney	0.0458	colon	False	True	0.2428	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_154_Exp_CellLines_OGE02_II	Tonsil	0.0411	colon	False	True	0.2585	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_158_Exp_CellLines_OGE07_II	Tonsil	0.039	colon	False	True	0.2585	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000674	qExactive01819	Monocytes	0.1034	cervix	False	False	0.1742	True Conflict	cervical adenocarcinoma
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_01b_22Mar12_Lynx_12-02-29	B-cells	0.0547	breast	False	False	0.2633	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_02b_25Mar12_Lynx_12-02-29	Lung	0.0499	breast	False	False	0.2942	Distant Concordance (Organ System)	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_03b_26Mar12_Lynx_12-02-29	Skeletal muscle	0.0393	breast	False	False	0.2583	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_04b_26Mar12_Lynx_12-02-29	Bone marrow	0.0495	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_05b_26Mar12_Lynx_12-02-31	Urinary bladder	0.0433	breast	False	False	0.2686	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_07b_28Mar12_Lynx_12-02-29	Tonsil	0.0391	breast	False	False	0.2324	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_08b_26Mar12_Lynx_12-02-29	Skeletal muscle	0.0444	breast	False	False	0.2583	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_09b_26Mar12_Lynx_12-02-31	B-cells	0.0518	breast	False	False	0.2633	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_10b_26Mar12_Lynx_12-02-29	Brain	0.04	breast	False	False	0.3318	Distant Concordance (Organ System)	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_11b_26Mar12_Lynx_12-02-31	Skeletal muscle	0.039	breast	False	False	0.2583	True Conflict	breast cancer
PXD001000	CPTAC_CompREF_00_iTRAQ_NiNTA_12b_26Mar12_Lynx_12-02-31	Testis	0.0451	breast	False	False	0.1817	True Conflict	breast cancer
PXD001000	CPTAC_CompRef_00_iTRAQ_NiNTA_06_14Mar12_Lynx_12-02-31	B-cells	0.0401	breast	False	False	0.2633	True Conflict	breast cancer
PXD001017	130906_JudyBag	Ovary	0.1674	breast	False	False	0.1961	True Conflict	breast cancer
PXD001017	131220kw_JudyMVP_MCF	Esophagus	0.0756	breast	False	False	0.124	True Conflict	breast cancer
PXD001017	131308kw_Judy_bag3	Ovary	0.2431	breast	False	False	0.1961	True Conflict	breast cancer
PXD001017	140224kw_Judy_MVP_IP1	Kidney	0.064	breast	False	False	0.3014	Distant Concordance (Organ System)	breast cancer
PXD001017	Day0Bag310172012	Testis	0.0601	breast	False	False	0.1817	True Conflict	breast cancer
PXD001118	1HCD_Histone	Kidney	0.055	cervix	False	False	0.616	Distant Concordance (Organ System)	cervical adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt1	Ovary	0.0913	breast	False	False	0.1961	True Conflict	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt2	Bone marrow	0.1123	breast	False	False	0.2838	Distant Concordance (Organ System)	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt2b	Bone marrow	0.1098	breast	False	False	0.2838	Distant Concordance (Organ System)	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt3	Testis	0.1004	breast	False	False	0.1817	True Conflict	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt3b	Testis	0.1004	breast	False	False	0.1817	True Conflict	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt4	Bone marrow	0.1401	breast	False	False	0.2838	Distant Concordance (Organ System)	breast adenocarcinoma
PXD001327	ZR_con_1d_130618_cyt4b	Bone marrow	0.1352	breast	False	False	0.2838	Distant Concordance (Organ System)	breast adenocarcinoma
PXD001574	InGelPiTRAQQExactive_MW1	Liver	0.0662	cervix	False	False	0.2549	Distant Concordance (Organ System)	cervical carcinoma
PXD001574	InGelPiTRAQQExactive_MW2	Kidney	0.081	cervix	False	False	0.616	Distant Concordance (Organ System)	cervical carcinoma
PXD001574	InGelPiTRAQQExactive_MW3	Monocytes	0.0471	cervix	False	False	0.1742	True Conflict	cervical carcinoma
PXD001574	InSolutionPiTRAQQExactive	Placenta	0.0947	cervix	False	False	0.7987	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1A-3_150	Ovary	0.163	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1A-3_500	Ovary	0.2104	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1A-3_75	Ovary	0.1198	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1a-3_250	Ovary	0.1662	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1b-5_150	Ovary	0.1401	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1b-5_250	Ovary	0.1438	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1b-5_500	Ovary	0.1899	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_1b-5_75	Ovary	0.177	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2A-4_150	Ovary	0.1523	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2A-4_250	Ovary	0.1196	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2A-4_500	Ovary	0.1819	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2A-4_75	Ovary	0.1684	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2b-6_150	Ovary	0.1966	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2b-6_250	Ovary	0.1523	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2b-6_500	Ovary	0.1657	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	EHZF_18Olabelling_2b-6_75	Ovary	0.1348	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001609	HDAC-final1D-02	Ovary	0.1619	cervix	False	False	0.771	Near-Agreement (Subpart / Secretome)	cervical carcinoma
PXD001862	HNSCC_TMT_TP_01	Kidney	0.1141	head and neck	False	False	0.3522	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_02	Bone marrow	0.1044	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_03	Bone marrow	0.1105	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_04	Bone marrow	0.1046	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_05	Bone marrow	0.1224	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_06	Kidney	0.1165	head and neck	False	False	0.3522	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_07	Bone marrow	0.1214	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_08	Bone marrow	0.1412	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_09	Kidney	0.1054	head and neck	False	False	0.3522	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_10_140117094153	Bone marrow	0.149	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_11	Lung	0.105	head and neck	False	False	0.4756	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_TMT_TP_longColumn_12	Bone marrow	0.1304	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_01	Testis	0.054	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_02	Bone marrow	0.0668	head and neck	False	False	0.1433	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_03	B-cells	0.0665	head and neck	False	False	0.1024	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_04	Kidney	0.0534	head and neck	False	False	0.3522	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_05	Testis	0.0716	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_06	Lymph node	0.0447	head and neck	False	False	0.3229	Distant Concordance (Organ System)	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_07	Testis	0.0664	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_08	Testis	0.0805	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_09	Testis	0.051	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_10	Testis	0.0483	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_11	Testis	0.0858	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001862	HNSCC_pST_TMT_12	Testis	0.0609	head and neck	False	False	0.111	True Conflict	head and neck squamous cell carcinoma; normal
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_01	Bone marrow	0.1948	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_02	Bone marrow	0.1438	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_03	Testis	0.0519	breast	False	False	0.1817	True Conflict	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_04	Bone marrow	0.1823	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_05	Bone marrow	0.1478	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_05_140318164109	Bone marrow	0.1428	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_06	Bone marrow	0.1949	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_07	Bone marrow	0.197	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_08	Stomach	0.1761	breast	False	False	0.1374	True Conflict	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_09	Bone marrow	0.1756	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_10	Bone marrow	0.1632	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_11	Bone marrow	0.2113	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_12	Bone marrow	0.123	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp1_L_basal_M_Tnf_H_TnfPlusInh_12_140318193650	Bone marrow	0.1501	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_13	Bone marrow	0.1938	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_14	Bone marrow	0.1706	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_15	Kidney	0.0582	breast	False	False	0.3014	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_16_140322002421	Bone marrow	0.1944	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_17	Bone marrow	0.1443	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_17_140324201804	Bone marrow	0.1485	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_18	Bone marrow	0.1833	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_19	Bone marrow	0.2394	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_20	Bone marrow	0.1742	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_21	Bone marrow	0.17	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_22	Bone marrow	0.1412	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_23	Bone marrow	0.1817	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp2_L_basal_M_Tnf_H_Inh_24	Bone marrow	0.1581	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_25	Bone marrow	0.1606	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_26	Testis	0.1265	breast	False	False	0.1817	True Conflict	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_27	Bone marrow	0.1436	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_28	Bone marrow	0.1359	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_28_140325010634	Bone marrow	0.1592	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_29	Bone marrow	0.1134	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_30	Bone marrow	0.1448	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_31	Bone marrow	0.167	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_32	Bone marrow	0.1906	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_33	Bone marrow	0.1526	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_34	Bone marrow	0.1825	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_35	Bone marrow	0.1496	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp3_L_WTIKK2_M_Tnf_H_TNF_IKKWt_36	Bone marrow	0.1366	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
PXD001873	20140313_HN_Hendrik_Ramesh_PhosphoExp4_L_KD_IKK_M_Tnf_H_TNF_IKK_KD_37	Bone marrow	0.1674	breast	False	False	0.2838	Distant Concordance (Organ System)	breast cancer
