pxd,run,coverage,scoring_mode,usable,k,cand_classes,pred_tissue,confidence,assigned,assigned_conf,tissue_source,label_class
PXD000561,PXD000561-Sample 19,0.484,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.4991,Heart,0.4991,hamlet-multi,
PXD000561,PXD000561-Sample 2,0.2636,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Adrenal gland,0.3071,Adrenal gland,0.3071,hamlet-multi,
PXD000561,PXD000561-Sample 20,0.4964,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.5109,Heart,0.5109,hamlet-multi,
PXD000561,PXD000561-Sample 21,0.3666,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.425,Heart,0.425,hamlet-multi,
PXD000561,PXD000561-Sample 22,0.4822,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.3469,Liver,0.3469,hamlet-multi,
PXD000561,PXD000561-Sample 23,0.4598,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.3245,Liver,0.3245,hamlet-multi,
PXD000561,PXD000561-Sample 24,0.3395,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.2404,Liver,0.2404,hamlet-multi,
PXD000561,PXD000561-Sample 25,0.4979,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.2429,Testis,0.2429,hamlet-multi,
PXD000561,PXD000561-Sample 26,0.4862,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.0987,Testis,0.0987,hamlet-multi,
PXD000561,PXD000561-Sample 27,0.3894,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.0983,Testis,0.0951,hamlet-multi,
PXD000561,PXD000561-Sample 28,0.4569,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Bone marrow,0.1854,Kidney,0.0507,hamlet-multi,
PXD000561,PXD000561-Sample 29,0.3358,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Bone marrow,0.1914,Kidney,0.0735,hamlet-multi,
PXD000561,PXD000561-Sample 3,0.2447,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Esophagus,0.3721,Esophagus,0.3721,hamlet-multi,
PXD000561,PXD000561-Sample 30,0.3317,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Bone marrow,0.1491,Lung,0.0754,hamlet-multi,
PXD000561,PXD000561-Sample 31,0.3148,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.3352,Lung,0.0493,hamlet-multi,
PXD000561,PXD000561-Sample 32,0.237,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.2171,Lung,0.0613,hamlet-multi,
PXD000561,PXD000561-Sample 33,0.4563,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.4229,Kidney,0.0537,hamlet-multi,
PXD000561,PXD000561-Sample 34,0.3529,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.2731,Testis,0.04,hamlet-multi,
PXD000561,PXD000561-Sample 35,0.2532,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Spleen,0.2156,Placenta,0.0394,hamlet-multi,
PXD000561,PXD000561-Sample 36,0.2656,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Spleen,0.1858,Kidney,0.0562,hamlet-multi,
PXD000561,PXD000561-Sample 37,0.2056,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Esophagus,0.4711,Esophagus,0.4711,hamlet-multi,
PXD000561,PXD000561-Sample 38,0.3414,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.7587,Brain,0.7587,hamlet-multi,
PXD000561,PXD000561-Sample 39,0.2064,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.5842,Heart,0.5842,hamlet-multi,
PXD000561,PXD000561-Sample 4,0.2681,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Esophagus,0.4006,Esophagus,0.4006,hamlet-multi,
PXD000561,PXD000561-Sample 40,0.1907,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Smooth muscle,0.0969,Urinary bladder,0.088,hamlet-multi,
PXD000561,PXD000561-Sample 41,0.3178,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.1338,Testis,0.1338,hamlet-multi,
PXD000561,PXD000561-Sample 42,0.1688,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Bone marrow,0.2831,Lung,0.0637,hamlet-multi,
PXD000561,PXD000561-Sample 43,0.204,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Bone marrow,0.1888,Lung,0.073,hamlet-multi,
PXD000561,PXD000561-Sample 44,0.5738,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.2104,Testis,0.074,hamlet-multi,
PXD000561,PXD000561-Sample 45,0.2238,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.2104,Lung,0.068,hamlet-multi,
PXD000561,PXD000561-Sample 46,0.1785,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.234,Lung,0.0539,hamlet-multi,
PXD000561,PXD000561-Sample 47,0.1231,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.2239,Lung,0.0638,hamlet-multi,
PXD000561,PXD000561-Sample 48,0.3865,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Spleen,0.2221,Testis,0.0647,hamlet-multi,
PXD000561,PXD000561-Sample 49,0.5118,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Adrenal gland,0.6498,Adrenal gland,0.6498,hamlet-multi,
PXD000561,PXD000561-Sample 5,0.2758,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.0921,Lung,0.0921,hamlet-multi,
PXD000561,PXD000561-Sample 50,0.482,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.4372,Colon,0.4372,hamlet-multi,
PXD000561,PXD000561-Sample 51,0.3593,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.3852,Colon,0.3852,hamlet-multi,
PXD000561,PXD000561-Sample 52,0.2902,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Smooth muscle,0.0838,Lung,0.08,hamlet-multi,
PXD000561,PXD000561-Sample 53,0.4531,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Endometrium,0.0921,Kidney,0.088,hamlet-multi,
PXD000561,PXD000561-Sample 54,0.3638,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.7101,Heart,0.7101,hamlet-multi,
PXD000561,PXD000561-Sample 55,0.4116,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Kidney,0.3496,Kidney,0.3496,hamlet-multi,
PXD000561,PXD000561-Sample 56,0.4188,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.2828,Lung,0.2828,hamlet-multi,
PXD000561,PXD000561-Sample 57,0.5394,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Endometrium,0.1362,Lung,0.0925,hamlet-multi,
PXD000561,PXD000561-Sample 58,0.5631,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.7629,Testis,0.7629,hamlet-multi,
PXD000561,PXD000561-Sample 59,0.5926,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.0944,Colon,0.0944,hamlet-multi,
PXD000561,PXD000561-Sample 6,0.2444,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.5683,Heart,0.5683,hamlet-multi,
PXD000561,PXD000561-Sample 60,0.3322,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.0895,Lung,0.0895,hamlet-multi,
PXD000561,PXD000561-Sample 61,0.5486,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Prostate,0.4024,Prostate,0.4024,hamlet-multi,
PXD000561,PXD000561-Sample 62,0.4631,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Prostate,0.4766,Prostate,0.4766,hamlet-multi,
PXD000561,PXD000561-Sample 63,0.417,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.4493,Colon,0.4493,hamlet-multi,
PXD000561,PXD000561-Sample 64,0.5822,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.089,Brain,0.089,hamlet-multi,
PXD000561,PXD000561-Sample 65,0.4941,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.0808,Lung,0.0808,hamlet-multi,
PXD000561,PXD000561-Sample 66,0.4608,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.6023,Brain,0.6023,hamlet-multi,
PXD000561,PXD000561-Sample 67,0.3872,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.4315,Brain,0.4315,hamlet-multi,
PXD000561,PXD000561-Sample 68,0.6282,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.8817,Testis,0.8817,hamlet-multi,
PXD000561,PXD000561-Sample 69,0.5141,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.0957,Lung,0.0957,hamlet-multi,
PXD000561,PXD000561-Sample 7,0.2066,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.5419,Heart,0.5419,hamlet-multi,
PXD000561,PXD000561-Sample 70,0.3434,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Esophagus,0.1844,Esophagus,0.1844,hamlet-multi,
PXD000561,PXD000561-Sample 71,0.4628,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Urinary bladder,0.2069,Urinary bladder,0.2069,hamlet-multi,
PXD000561,PXD000561-Sample 72,0.4638,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.1896,Colon,0.1896,hamlet-multi,
PXD000561,PXD000561-Sample 73,0.4104,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.5405,Heart,0.5405,hamlet-multi,
PXD000561,PXD000561-Sample 74,0.529,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Testis,0.0965,Testis,0.0965,hamlet-multi,
PXD000561,PXD000561-Sample 75,0.527,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.1999,Testis,0.0506,hamlet-multi,
PXD000561,PXD000561-Sample 76,0.4673,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.244,Lung,0.0554,hamlet-multi,
PXD000561,PXD000561-Sample 77,0.5494,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.1694,,,hamlet-multi,
PXD000561,PXD000561-Sample 78,0.5672,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.239,Testis,0.0607,hamlet-multi,
PXD000561,PXD000561-Sample 79,0.3925,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Placenta,0.5523,Placenta,0.5523,hamlet-multi,
PXD000561,PXD000561-Sample 8,0.292,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Kidney,0.6064,Kidney,0.6064,hamlet-multi,
PXD000561,PXD000561-Sample 80,0.4399,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.8767,Brain,0.8767,hamlet-multi,
PXD000561,PXD000561-Sample 81,0.3213,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Heart,0.7053,Heart,0.7053,hamlet-multi,
PXD000561,PXD000561-Sample 82,0.5349,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.9687,Liver,0.9687,hamlet-multi,
PXD000561,PXD000561-Sample 83,0.3618,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.8615,Liver,0.8615,hamlet-multi,
PXD000561,PXD000561-Sample 84,0.4661,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Colon,0.5111,Colon,0.5111,hamlet-multi,
PXD000561,PXD000561-Sample 85,0.4745,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.9268,Brain,0.9268,hamlet-multi,
PXD000561,PXD000561-Sample 9,0.2771,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Kidney,0.601,Kidney,0.601,hamlet-multi,
PXD005693,151112-MClass-15-3405-01-AKZ,0.1194,predict_proba,True,2,"['Colon', 'Liver']",Colon,0.2054,Colon,0.2054,hamlet-multi,
PXD005693,151112-MClass-15-3406-01-AKZ,0.2169,predict_proba,True,2,"['Colon', 'Liver']",Colon,0.1139,Colon,0.1139,hamlet-multi,
